epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,564.665,0.53702,0.43104,0.94007,0.80743,0.84408,0.891,0.77115,0.43504,0.26033,0.90561,0.0098647,0.0098647,0.0098647
43,683.312,0.53997,0.43502,0.9438,0.90329,0.8156,0.90994,0.78901,0.4381,0.26109,0.90445,0.0098614,0.0098614,0.0098614
44,799.356,0.53698,0.43376,0.94064,0.8491,0.85562,0.9117,0.79319,0.43554,0.26019,0.90458,0.0098581,0.0098581,0.0098581
45,915.035,0.53745,0.42579,0.94261,0.82376,0.86616,0.91741,0.79873,0.43268,0.26048,0.90326,0.0098548,0.0098548,0.0098548
46,1030.37,0.5361,0.42557,0.94288,0.82425,0.86323,0.90405,0.78612,0.43243,0.25953,0.90607,0.0098515,0.0098515,0.0098515
47,1145.51,0.53617,0.42643,0.94401,0.9044,0.83506,0.91575,0.7964,0.42943,0.25814,0.90148,0.0098482,0.0098482,0.0098482
48,1260.55,0.53625,0.42912,0.9444,0.91673,0.81561,0.91786,0.79608,0.43181,0.25974,0.90406,0.0098449,0.0098449,0.0098449
49,1375.44,0.5318,0.42171,0.93987,0.94745,0.79501,0.90777,0.78789,0.42899,0.26119,0.9021,0.0098416,0.0098416,0.0098416
50,1490.36,0.53848,0.42432,0.94961,0.84148,0.85033,0.90267,0.78467,0.42939,0.25337,0.90293,0.0098383,0.0098383,0.0098383
51,1605.07,0.52836,0.41453,0.94023,0.93717,0.807,0.9063,0.78491,0.42975,0.2507,0.904,0.009835,0.009835,0.009835
52,1718.36,0.53173,0.416,0.94057,0.89906,0.83355,0.91408,0.79022,0.42711,0.25082,0.90229,0.0098317,0.0098317,0.0098317
53,1831.27,0.52558,0.41347,0.93747,0.89187,0.86147,0.92237,0.79892,0.42444,0.24614,0.90026,0.0098284,0.0098284,0.0098284
54,1944.37,0.52735,0.41609,0.93902,0.88019,0.84804,0.91152,0.79085,0.42765,0.25249,0.90371,0.0098251,0.0098251,0.0098251
55,2057.56,0.52997,0.41379,0.9403,0.85575,0.87074,0.927,0.80688,0.42543,0.2489,0.90062,0.0098218,0.0098218,0.0098218
56,2170.92,0.52873,0.41205,0.94028,0.86736,0.87747,0.91724,0.79955,0.42307,0.2536,0.90082,0.0098185,0.0098185,0.0098185
57,2283.97,0.52676,0.41412,0.93954,0.86471,0.85186,0.92587,0.80584,0.42078,0.2498,0.89855,0.0098152,0.0098152,0.0098152
58,2397.14,0.52228,0.40549,0.93806,0.87498,0.86139,0.92543,0.80255,0.42352,0.25169,0.89979,0.0098119,0.0098119,0.0098119
59,2510.11,0.52451,0.40726,0.93939,0.90035,0.83956,0.94141,0.81699,0.42302,0.24608,0.89959,0.0098086,0.0098086,0.0098086
60,2623.11,0.52606,0.4116,0.93999,0.80966,0.90207,0.92429,0.80596,0.42238,0.24516,0.89844,0.0098053,0.0098053,0.0098053
